Ticker,Beta,Code,CoName,S17Nm,S33Nm,BetaScore
8306.T,1.0289666450584647,8306,三菱ＵＦＪフィナンシャル・グループ,銀行,銀行業,0.7777680123125943
6701.T,1.010893401705383,6701,日本電気,電機・精密,電気機器,0.7290706080182711
6301.T,1.0070861594897567,6301,小松製作所,機械,機械,0.7188121939749965
8331.T,1.0038479582239783,8331,千葉銀行,銀行,銀行業,0.7100870308625822
8750.T,0.9836705649089824,8750,第一生命ホールディングス,金融（除く銀行）,保険業,0.6557201050889419
8002.T,0.9799135903736929,8002,丸紅,商社・卸売,卸売業,0.6455971346682908
8316.T,0.9679018160321247,8316,三井住友フィナンシャルグループ,銀行,銀行業,0.6132320400377366
6479.T,0.9655700473880162,6479,ミネベアミツミ,電機・精密,電気機器,0.6069492119827703
4063.T,0.9644454723302437,4063,信越化学工業,素材・化学,化学,0.6039191035967001
6273.T,0.9631977404884114,6273,ＳＭＣ,機械,機械,0.6005571557290394
6305.T,0.9628476551438956,6305,日立建機,機械,機械,0.5996138691685505
7261.T,0.9497547711765062,7261,マツダ,自動車・輸送機,輸送用機器,0.5643357814737978
