Ticker,Name,Window,Passed,Signal_Level,Signal_Rank,Pass_Reason,Reject_Reason,Failed_Conditions,Conditions_Passed,Weekly_MA2_Warning,SMA25_Above_SMA75,SMA75_Up,Drop_OK,Return_OK,Green_Band_OK,Pull_Before_Latest,Rebound_Confirmed,Yellow_Band_OK,Weekly_MA2_OK,Peak_Date,Peak_High,Pullback_Date,Pullback_Low,Latest_Date,Latest_Close,Prev_Close,Return_%,Drop_From_Peak_%,Delta_from_Pull_%,SMA25,SMA75,SMA75_10d_Ago,"Within_(pull, +2%]","Within_(pull, +5%]",Data_Rows
6526.T,ソシオネクスト,60,False,,0,,Drop>15%,Drop>15% | 押し目安値+5%外,5,True,True,True,False,True,False,True,True,False,False,2026-06-03,3200.0,2026-06-11,2152.0,2026-07-22,2486.5,2472.5,28.69,22.3,15.54,2612.98,2371.97,2279.96,False,False,
6526.T,ソシオネクスト,30,False,,0,,Drop>15%,Drop>15% | 押し目安値+5%外,5,True,True,True,False,True,False,True,True,False,False,2026-07-10,2937.5,2026-07-17,2215.0,2026-07-22,2486.5,2472.5,18.14,15.35,12.26,2612.98,2371.97,2279.96,False,False,
6594.T,日電産,60,False,,0,,Drop>15%,Drop>15%,6,True,True,True,False,True,True,True,True,False,False,2026-06-01,2922.0,2026-07-17,2406.0,2026-07-22,2480.0,2467.0,17.82,15.13,3.08,2653.64,2570.52,2510.15,False,True,
6594.T,日電産,30,False,,0,,Drop>15%,Drop>15%,6,True,True,True,False,True,True,True,True,False,False,2026-06-18,2919.0,2026-07-17,2406.0,2026-07-22,2480.0,2467.0,17.7,15.04,3.08,2653.64,2570.52,2510.15,False,True,
6645.T,オムロン,60,False,,0,,押し目安値+5%外,押し目安値+5%外,6,True,True,True,True,True,False,True,True,False,False,2026-06-04,6383.0,2026-07-17,5158.0,2026-07-22,5463.0,5358.0,16.84,14.41,5.91,5769.64,5539.95,5386.0,False,False,
6645.T,オムロン,30,False,,0,,押し目安値+5%外,押し目安値+5%外,6,True,True,True,True,True,False,True,True,False,False,2026-06-22,6240.0,2026-07-17,5158.0,2026-07-22,5463.0,5358.0,14.22,12.45,5.91,5769.64,5539.95,5386.0,False,False,
6674.T,ジーエスユアサ,60,False,,0,,Drop>15%,Drop>15% | 押し目安値+5%外,5,True,True,True,False,True,False,True,True,False,False,2026-06-22,7899.0,2026-07-17,5388.0,2026-07-22,5914.0,5724.0,33.56,25.13,9.76,6486.6,6444.17,6345.56,False,False,
6674.T,ジーエスユアサ,30,False,,0,,Drop>15%,Drop>15% | 押し目安値+5%外,5,True,True,True,False,True,False,True,True,False,False,2026-06-22,7899.0,2026-07-17,5388.0,2026-07-22,5914.0,5724.0,33.56,25.13,9.76,6486.6,6444.17,6345.56,False,False,
6701.T,NEC,60,False,,0,,SMA25<=SMA75,SMA25<=SMA75 | 押し目安値+5%外,4,False,False,True,True,True,False,True,False,False,True,2026-04-27,4707.0,2026-06-23,3657.0,2026-07-22,4352.0,4407.0,8.16,7.54,19.0,4124.64,4145.76,4095.45,False,False,
6701.T,NEC,30,False,,0,,SMA25<=SMA75,SMA25<=SMA75 | 反発未確認かつ押し目安値+2%外 | 前日終値超えなし,5,False,False,True,True,True,True,True,False,False,True,2026-07-14,4525.0,2026-07-15,4218.0,2026-07-22,4352.0,4407.0,3.98,3.82,3.18,4124.64,4145.76,4095.45,False,True,
6702.T,富士通,60,False,,0,,SMA25<=SMA75,SMA25<=SMA75 | 押し目安値+5%外,5,True,False,True,True,True,False,True,True,False,False,2026-04-23,3859.0,2026-05-01,3016.0,2026-07-22,3311.0,3309.0,16.55,14.2,9.78,3285.12,3387.73,3384.05,False,False,
6702.T,富士通,30,False,,0,,SMA25<=SMA75,SMA25<=SMA75 | 反発未確認かつ押し目安値+2%外 | 押し目日が最新日,5,True,False,True,True,True,True,False,True,False,False,2026-07-08,3464.0,2026-07-22,3181.0,2026-07-22,3311.0,3309.0,4.62,4.42,4.09,3285.12,3387.73,3384.05,False,True,
6723.T,ルネサス,60,False,,0,,Drop>15%,Drop>15% | 押し目安値+5%外,5,True,True,True,False,True,False,True,True,False,False,2026-06-23,5284.0,2026-07-17,3691.0,2026-07-22,4175.0,4035.0,26.56,20.99,13.11,4619.2,3916.71,3648.87,False,False,
6723.T,ルネサス,30,False,,0,,Drop>15%,Drop>15% | 押し目安値+5%外,5,True,True,True,False,True,False,True,True,False,False,2026-06-23,5284.0,2026-07-17,3691.0,2026-07-22,4175.0,4035.0,26.56,20.99,13.11,4619.2,3916.71,3648.87,False,False,
6724.T,セイコーエプソン,60,False,,0,,押し目安値+5%外,押し目安値+5%外,6,False,True,True,True,True,False,True,True,False,True,2026-06-03,3129.0,2026-06-24,2639.5,2026-07-22,2937.0,2869.5,6.54,6.14,11.27,2788.46,2564.52,2447.19,False,False,
6724.T,セイコーエプソン,30,False,,0,,ピーク後データなし,,0,False,False,False,False,False,False,False,False,False,True,2026-07-22,2959.0,,,,,,,,,,,,,,
6752.T,パナソニック,60,True,GREEN,2,🟢反発確認,,,7,True,True,True,True,True,True,True,True,False,False,2026-07-01,4770.0,2026-07-17,3900.0,2026-07-22,4095.0,4073.0,16.48,14.15,5.0,4375.96,3667.11,3449.88,False,True,
6752.T,パナソニック,30,True,GREEN,2,🟢反発確認,,,7,True,True,True,True,True,True,True,True,False,False,2026-07-01,4770.0,2026-07-17,3900.0,2026-07-22,4095.0,4073.0,16.48,14.15,5.0,4375.96,3667.11,3449.88,False,True,
6753.T,シャープ,60,False,,0,,押し目安値+5%外,押し目安値+5%外,5,True,True,True,True,True,False,True,False,False,False,2026-06-05,681.6,2026-06-22,569.0,2026-07-22,622.2,623.8,9.55,8.71,9.35,626.59,615.32,608.22,False,False,
6753.T,シャープ,30,False,,0,,押し目安値+5%外,押し目安値+5%外,5,True,True,True,True,True,False,True,False,False,False,2026-06-24,671.0,2026-06-26,587.0,2026-07-22,622.2,623.8,7.84,7.27,6.0,626.59,615.32,608.22,False,False,
